Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0031,04/01/2022,04/01/2022,Amazon.com*167SR3VA2,Merchandise & Inventory,Sale,-26.41,
0031,03/30/2022,04/01/2022,McDonald's 10651,Food & Drink,Sale,-3.51,
0031,04/01/2022,04/01/2022,AMZN Mktp US*162QV8VF2,Merchandise & Inventory,Sale,-11.00,
0031,03/30/2022,03/31/2022,AMZN Mktp US*1H4CK64I1,Merchandise & Inventory,Sale,-14.03,
0031,03/29/2022,03/30/2022,DOMINO'S 7027,Food & Drink,Sale,-17.59,
0031,03/29/2022,03/30/2022,Amazon.com*167W31ZC2,Merchandise & Inventory,Sale,-12.60,
0031,03/27/2022,03/29/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-72.67,
0031,03/28/2022,03/29/2022,McDonald's 10651,Food & Drink,Sale,-2.20,
0031,03/27/2022,03/28/2022,JING JING ASIAN MARKET,Food & Drink,Sale,-3.79,
0031,03/25/2022,03/27/2022,SAFEWAY #1444,Food & Drink,Sale,-61.14,
0031,03/26/2022,03/27/2022,Amazon.com*1623D5FR0,Merchandise & Inventory,Sale,-3.57,
0031,03/26/2022,03/27/2022,AMZN Mktp US*1N98Z87G2,Merchandise & Inventory,Sale,-14.85,
0031,03/26/2022,03/27/2022,SQ *TOFU 101,Food & Drink,Sale,-26.75,
0031,03/26/2022,03/27/2022,JING JING ASIAN MARKET,Food & Drink,Sale,-83.77,
0031,03/24/2022,03/25/2022,Amazon.com*1N3JP39E0,Merchandise & Inventory,Sale,-9.90,
0031,03/23/2022,03/25/2022,FIRESTONE27049,Automotive,Sale,-1421.43,
0031,03/23/2022,03/24/2022,QFC 5821,Food & Drink,Sale,-8.47,
0031,03/21/2022,03/23/2022,McDonald's 10651,Food & Drink,Sale,-15.28,
0031,03/22/2022,03/23/2022,Payment Thank You-Mobile,,Payment,40.00,
0031,03/23/2022,03/23/2022,PAYPAL *MACY S,Merchandise & Inventory,Sale,-18.70,
0031,03/21/2022,03/22/2022,AMZN Mktp US*1N6HV5NT2,Merchandise & Inventory,Sale,-7.15,
0031,03/21/2022,03/22/2022,PAYPAL *MACY S,Merchandise & Inventory,Sale,-14.03,
0031,03/19/2022,03/21/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-58.14,
0031,03/19/2022,03/21/2022,SAFEWAY #1444,Food & Drink,Sale,-82.64,
0031,03/17/2022,03/18/2022,J AND J CHINESE RESTAURAN,Food & Drink,Sale,-16.46,
0031,03/17/2022,03/18/2022,MACKY DIM SUM RESTAURANT,Food & Drink,Sale,-20.65,
0031,03/17/2022,03/18/2022,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-126.16,
0031,03/16/2022,03/17/2022,Amazon.com*1Z3X48MZ2,Merchandise & Inventory,Sale,-5.37,
0031,03/14/2022,03/15/2022,McDonald's 10651,Food & Drink,Sale,-1.10,
0031,03/15/2022,03/15/2022,AMZN Mktp US*1Z9OF7DH0,Merchandise & Inventory,Sale,-44.03,
0031,03/13/2022,03/14/2022,JING JING ASIAN MARKET,Food & Drink,Sale,-26.22,
0031,03/13/2022,03/14/2022,WAL-MART #5939,Food & Drink,Sale,-27.60,
0031,03/11/2022,03/13/2022,AMZN Mktp US*1Z0SW38A1,Merchandise & Inventory,Sale,-8.14,
0031,03/11/2022,03/13/2022,DAISO SEA08 CRSRDS BLLVU,Merchandise & Inventory,Sale,-14.82,
0031,03/11/2022,03/13/2022,ARCO#83231EMANUEL II LLC,Gas,Sale,-56.25,
